EmployeeCode,LogDateTime,LogDate,LogTime,Direction
1290,2021-03-25 13:03:57,2021-03-25,13:03:57.0000000,in
1272,2021-03-25 14:09:44,2021-03-25,14:09:44.0000000,in
0019,2021-03-25 14:45:01,2021-03-25,14:45:01.0000000,out
0847,2021-03-25 16:15:46,2021-03-25,16:15:46.0000000,out
0847,2021-03-25 16:26:03,2021-03-25,16:26:03.0000000,in
1259,2021-03-25 17:43:24,2021-03-25,17:43:24.0000000,out
1141,2021-03-25 18:01:32,2021-03-25,18:01:32.0000000,out
00021,2021-03-25 18:03:56,2021-03-25,18:03:56.0000000,out
00023,2021-03-25 18:03:58,2021-03-25,18:03:58.0000000,out
00015,2021-03-25 18:04:17,2021-03-25,18:04:17.0000000,out
00024,2021-03-25 18:04:49,2021-03-25,18:04:49.0000000,out
00022,2021-03-25 18:04:51,2021-03-25,18:04:51.0000000,out
3333,2021-03-25 18:05:00,2021-03-25,18:05:00.0000000,out
00025,2021-03-25 18:05:01,2021-03-25,18:05:01.0000000,out
00019,2021-03-25 18:05:12,2021-03-25,18:05:12.0000000,out
00020,2021-03-25 18:06:03,2021-03-25,18:06:03.0000000,out
052,2021-03-25 18:11:44,2021-03-25,18:11:44.0000000,out
0847,2021-03-25 18:17:52,2021-03-25,18:17:52.0000000,out
1290,2021-03-25 18:40:59,2021-03-25,18:40:59.0000000,out
1285,2021-03-25 18:41:07,2021-03-25,18:41:07.0000000,out
1271,2021-03-25 18:41:23,2021-03-25,18:41:23.0000000,out
0888,2021-03-25 18:52:49,2021-03-25,18:52:49.0000000,out
1123,2021-03-25 18:53:28,2021-03-25,18:53:28.0000000,out
1272,2021-03-25 19:11:56,2021-03-25,19:11:56.0000000,out
1289,2021-03-25 19:11:59,2021-03-25,19:11:59.0000000,out
70000,2021-03-25 20:26:37,2021-03-25,20:26:37.0000000,in
70000,2021-03-25 20:26:46,2021-03-25,20:26:46.0000000,out
70000,2021-03-26 05:58:23,2021-03-26,05:58:23.0000000,in
70000,2021-03-26 07:25:25,2021-03-26,07:25:25.0000000,out
00021,2021-03-26 08:33:21,2021-03-26,08:33:21.0000000,in
00026,2021-03-26 08:47:02,2021-03-26,08:47:02.0000000,in
1141,2021-03-26 08:47:45,2021-03-26,08:47:45.0000000,in
00022,2021-03-26 08:52:11,2021-03-26,08:52:11.0000000,in
00024,2021-03-26 08:52:19,2021-03-26,08:52:19.0000000,in
00023,2021-03-26 08:55:34,2021-03-26,08:55:34.0000000,in
00020,2021-03-26 08:57:50,2021-03-26,08:57:50.0000000,in
1272,2021-03-26 08:58:11,2021-03-26,08:58:11.0000000,in
00025,2021-03-26 09:00:01,2021-03-26,09:00:01.0000000,in
00019,2021-03-26 09:02:24,2021-03-26,09:02:24.0000000,in
00015,2021-03-26 09:03:17,2021-03-26,09:03:17.0000000,in
1285,2021-03-26 09:10:44,2021-03-26,09:10:44.0000000,in
0019,2021-03-26 09:12:06,2021-03-26,09:12:06.0000000,in
052,2021-03-26 09:14:02,2021-03-26,09:14:02.0000000,in
